,year,quarter,count,company_code,pub_code
0,1995,1,0,tessra,sfusat
1,1995,2,0,tessra,sfusat
2,1995,3,0,tessra,sfusat
3,1995,4,0,tessra,sfusat
4,1996,1,0,tessra,sfusat
5,1996,2,0,tessra,sfusat
6,1996,3,0,tessra,sfusat
7,1996,4,0,tessra,sfusat
8,1997,1,0,tessra,sfusat
9,1997,2,0,tessra,sfusat
10,1997,3,0,tessra,sfusat
11,1997,4,0,tessra,sfusat
12,1998,1,0,tessra,sfusat
13,1998,2,0,tessra,sfusat
14,1998,3,0,tessra,sfusat
15,1998,4,0,tessra,sfusat
16,1999,1,0,tessra,sfusat
17,1999,2,0,tessra,sfusat
18,1999,3,0,tessra,sfusat
19,1999,4,0,tessra,sfusat
20,2000,1,0,tessra,sfusat
21,2000,2,0,tessra,sfusat
22,2000,3,0,tessra,sfusat
23,2000,4,0,tessra,sfusat
24,2001,1,0,tessra,sfusat
25,2001,2,0,tessra,sfusat
26,2001,3,0,tessra,sfusat
27,2001,4,0,tessra,sfusat
28,2002,1,0,tessra,sfusat
29,2002,2,0,tessra,sfusat
30,2002,3,0,tessra,sfusat
31,2002,4,0,tessra,sfusat
32,2003,1,0,tessra,sfusat
33,2003,2,0,tessra,sfusat
34,2003,3,0,tessra,sfusat
35,2003,4,0,tessra,sfusat
36,2004,1,0,tessra,sfusat
37,2004,2,0,tessra,sfusat
38,2004,3,0,tessra,sfusat
39,2004,4,0,tessra,sfusat
40,2005,1,0,tessra,sfusat
41,2005,2,0,tessra,sfusat
42,2005,3,0,tessra,sfusat
43,2005,4,0,tessra,sfusat
44,2006,1,0,tessra,sfusat
45,2006,2,0,tessra,sfusat
46,2006,3,0,tessra,sfusat
47,2006,4,0,tessra,sfusat
48,2007,1,0,tessra,sfusat
49,2007,2,0,tessra,sfusat
50,2007,3,0,tessra,sfusat
51,2007,4,0,tessra,sfusat
52,2008,1,0,tessra,sfusat
53,2008,2,0,tessra,sfusat
54,2008,3,0,tessra,sfusat
55,2008,4,0,tessra,sfusat
56,2009,1,0,tessra,sfusat
57,2009,2,0,tessra,sfusat
58,2009,3,0,tessra,sfusat
59,2009,4,0,tessra,sfusat
60,2010,1,0,tessra,sfusat
61,2010,2,0,tessra,sfusat
62,2010,3,0,tessra,sfusat
63,2010,4,0,tessra,sfusat
64,2011,1,0,tessra,sfusat
65,2011,2,0,tessra,sfusat
66,2011,3,0,tessra,sfusat
67,2011,4,0,tessra,sfusat
68,2012,1,0,tessra,sfusat
69,2012,2,0,tessra,sfusat
70,2012,3,0,tessra,sfusat
71,2012,4,0,tessra,sfusat
72,2013,1,0,tessra,sfusat
73,2013,2,0,tessra,sfusat
74,2013,3,0,tessra,sfusat
75,2013,4,0,tessra,sfusat
76,2014,1,0,tessra,sfusat
77,2014,2,0,tessra,sfusat
78,2014,3,0,tessra,sfusat
79,2014,4,0,tessra,sfusat
80,2015,1,0,tessra,sfusat
81,2015,2,0,tessra,sfusat
82,2015,3,0,tessra,sfusat
83,2015,4,0,tessra,sfusat
84,2016,1,0,tessra,sfusat
85,2016,2,0,tessra,sfusat
86,2016,3,0,tessra,sfusat
87,2016,4,0,tessra,sfusat
88,2017,1,0,tessra,sfusat
89,2017,2,0,tessra,sfusat
90,2017,3,0,tessra,sfusat
91,2017,4,0,tessra,sfusat
92,2018,1,0,tessra,sfusat
93,2018,2,0,tessra,sfusat
94,2018,3,0,tessra,sfusat
95,2018,4,0,tessra,sfusat
96,2019,1,0,tessra,sfusat
97,2019,2,0,tessra,sfusat
98,2019,3,0,tessra,sfusat
99,2019,4,0,tessra,sfusat
100,2020,1,0,tessra,sfusat
101,2020,2,0,tessra,sfusat
0,1995,1,0,tessra,sfwsj
1,1995,2,0,tessra,sfwsj
2,1995,3,0,tessra,sfwsj
3,1995,4,0,tessra,sfwsj
0,1996,1,0,tessra,sfwsj
1,1996,2,0,tessra,sfwsj
2,1996,3,0,tessra,sfwsj
3,1996,4,0,tessra,sfwsj
0,1997,1,0,tessra,sfwsj
1,1997,2,0,tessra,sfwsj
2,1997,3,0,tessra,sfwsj
3,1997,4,0,tessra,sfwsj
0,1998,1,0,tessra,sfwsj
1,1998,2,0,tessra,sfwsj
2,1998,3,0,tessra,sfwsj
3,1998,4,0,tessra,sfwsj
0,1999,1,0,tessra,sfwsj
1,1999,2,0,tessra,sfwsj
2,1999,3,0,tessra,sfwsj
3,1999,4,0,tessra,sfwsj
0,2000,1,0,tessra,sfwsj
1,2000,2,0,tessra,sfwsj
2,2000,3,0,tessra,sfwsj
3,2000,4,0,tessra,sfwsj
0,2001,1,0,tessra,sfwsj
1,2001,2,0,tessra,sfwsj
2,2001,3,0,tessra,sfwsj
3,2001,4,0,tessra,sfwsj
0,2002,1,0,tessra,sfwsj
1,2002,2,0,tessra,sfwsj
2,2002,3,0,tessra,sfwsj
3,2002,4,0,tessra,sfwsj
0,2003,1,3,tessra,sfwsj
1,2003,2,1,tessra,sfwsj
2,2003,3,0,tessra,sfwsj
3,2003,4,2,tessra,sfwsj
0,2004,1,1,tessra,sfwsj
1,2004,2,1,tessra,sfwsj
2,2004,3,4,tessra,sfwsj
3,2004,4,1,tessra,sfwsj
0,2005,1,1,tessra,sfwsj
1,2005,2,2,tessra,sfwsj
2,2005,3,0,tessra,sfwsj
3,2005,4,2,tessra,sfwsj
0,2006,1,1,tessra,sfwsj
1,2006,2,3,tessra,sfwsj
2,2006,3,4,tessra,sfwsj
3,2006,4,4,tessra,sfwsj
0,2007,1,1,tessra,sfwsj
1,2007,2,1,tessra,sfwsj
2,2007,3,2,tessra,sfwsj
3,2007,4,1,tessra,sfwsj
0,2008,1,2,tessra,sfwsj
1,2008,2,2,tessra,sfwsj
2,2008,3,1,tessra,sfwsj
3,2008,4,4,tessra,sfwsj
0,2009,1,2,tessra,sfwsj
1,2009,2,4,tessra,sfwsj
2,2009,3,1,tessra,sfwsj
3,2009,4,4,tessra,sfwsj
0,2010,1,4,tessra,sfwsj
1,2010,2,4,tessra,sfwsj
2,2010,3,0,tessra,sfwsj
3,2010,4,1,tessra,sfwsj
0,2011,1,0,tessra,sfwsj
1,2011,2,1,tessra,sfwsj
2,2011,3,0,tessra,sfwsj
3,2011,4,2,tessra,sfwsj
0,2012,1,0,tessra,sfwsj
1,2012,2,0,tessra,sfwsj
2,2012,3,1,tessra,sfwsj
3,2012,4,0,tessra,sfwsj
0,2013,1,0,tessra,sfwsj
1,2013,2,1,tessra,sfwsj
2,2013,3,3,tessra,sfwsj
3,2013,4,0,tessra,sfwsj
0,2014,1,3,tessra,sfwsj
1,2014,2,1,tessra,sfwsj
2,2014,3,0,tessra,sfwsj
3,2014,4,0,tessra,sfwsj
0,2015,1,0,tessra,sfwsj
1,2015,2,0,tessra,sfwsj
2,2015,3,1,tessra,sfwsj
3,2015,4,0,tessra,sfwsj
0,2016,1,0,tessra,sfwsj
1,2016,2,0,tessra,sfwsj
2,2016,3,0,tessra,sfwsj
3,2016,4,0,tessra,sfwsj
0,2017,1,0,tessra,sfwsj
1,2017,2,0,tessra,sfwsj
2,2017,3,0,tessra,sfwsj
3,2017,4,0,tessra,sfwsj
0,2018,1,0,tessra,sfwsj
1,2018,2,0,tessra,sfwsj
2,2018,3,0,tessra,sfwsj
3,2018,4,0,tessra,sfwsj
0,2019,1,0,tessra,sfwsj
1,2019,2,0,tessra,sfwsj
2,2019,3,0,tessra,sfwsj
3,2019,4,2,tessra,sfwsj
0,2020,1,0,tessra,sfwsj
1,2020,2,0,tessra,sfwsj
0,1995,1,0,tessra,sfnyt
1,1995,2,0,tessra,sfnyt
2,1995,3,0,tessra,sfnyt
3,1995,4,0,tessra,sfnyt
0,1996,1,0,tessra,sfnyt
1,1996,2,0,tessra,sfnyt
2,1996,3,0,tessra,sfnyt
3,1996,4,0,tessra,sfnyt
0,1997,1,0,tessra,sfnyt
1,1997,2,0,tessra,sfnyt
2,1997,3,0,tessra,sfnyt
